,time,pos,vel,torque
0,0.0,-2.90128235125594,1.54621537413115,2.73815306349885
1,0.01,-2.88466844458361,1.77599514320592,2.7139138898388
2,0.02,-2.86576244839183,2.00453713275228,2.68114433517367
3,0.03,-2.84457770192856,2.23164955586401,2.63997301910591
4,0.04,-2.82112945727455,2.45714172032458,2.5905606455358
5,0.05,-2.79543486752207,2.68082420297613,2.53310341746865
6,0.06,-2.76751297321502,2.90250902299369,2.46783656999293
7,0.07,-2.7373846870622,3.12200981389377,2.3950379391992
8,0.08,-2.70507277693715,3.33914199411451,2.31503147565956
9,0.09,-2.6706018471799,3.55372293599443,2.22819060256438
10,0.1,-2.63399831821726,3.76557213298798,2.13494131095016
11,0.11,-2.59529040452015,3.9745113649537,2.03576487785845
12,0.12,-2.55450809091819,4.18036486135396,1.93120008831601
13,0.13,-2.51168310729307,4.38295946220628,1.82184483898706
14,0.14,-2.46684890167406,4.58212477662583,1.70835700077222
15,0.15,-2.42004061176055,4.7776933388068,1.59145441980336
16,0.16,-2.37129503489792,4.96950076129266,1.47191394151228
17,0.17,-2.3206505965347,5.15738588537902,1.3505693513227
18,0.18,-2.26814731719034,5.3411909285018,1.22830813822519
19,0.19,-2.21382677796466,5.52076162847417,1.10606700388408
20,0.2,-2.15773208462086,5.69594738442321,0.984826060469398
21,0.21,-2.0999078302762,5.86660139429003,0.865601684994749
22,0.22,-2.04040005673506,6.03258078876175,0.749438026003352
23,0.23,-1.97925621450096,6.19374676149971,0.637397189979424
24,0.24,-1.91652512150507,6.34996469553764,0.53054816921863
25,0.25,-1.85225692059021,6.50110428573077,0.429954609117634
26,0.26,-1.78650303579045,6.64703965713055,0.336661550338454
27,0.27,-1.7193161274476,6.78764947916684,0.251681319076398
28,0.28,-1.65075004620711,6.92281707553494,0.175978775144918
29,0.29,-1.5808597859369,7.05243052967484,0.110456161835745
30,0.3,-1.50970143561362,7.1763827857354,0.055937832444087
31,0.31,-1.43733213022219,7.29457174493612,0.013155154017432
32,0.32,-1.36381000071489,7.40690035721916,-0.017268091363767
33,0.33,-1.28919412307781,7.51327670811531,-0.034829475065963
34,0.34,-1.21354446655259,7.6136141007313,-0.039160523514976
35,0.35000000000000003,-1.13692184106318,7.70783113277679,-0.030037821094981
36,0.36,-1.05938784389705,7.79585176856916,-0.007392297354344
37,0.37,-0.981004805691798,7.87760540593002,0.028683594119651
38,0.38,-0.901835735778452,7.95302693792177,0.0779310637583
39,0.39,-0.821944266933363,8.02205680935872,0.139922756150965
40,0.4,-0.741394599591278,8.08464106803836,0.214063265976991
41,0.41000000000000003,-0.660251445572596,8.14073141064989,0.299592504587066
42,0.42,-0.57857997137828,8.19028522330959,0.39559195778653
43,0.43,-0.496445741106404,8.23326561668523,0.500993807408899
44,0.44,-0.413914659044575,8.2696414556829,0.614592819320605
45,0.45,-0.331052911992746,8.2993873836667,0.735060831001588
46,0.46,-0.247926911371241,8.32248384118358,0.860963605204749
47,0.47000000000000003,-0.164603235169074,8.33891707918423,0.990779754238128
48,0.48,-0.081148569787556,8.34867916672975,1.12292138424
49,0.49,0.002370348165521,8.35176799316785,1.25575606286563
50,0.5,0.085886790075801,8.34818726479604,1.38762967793511
51,0.51,0.169334093461441,8.33794649600742,1.51688973033065
52,0.52,0.252645719995949,8.32106099492477,1.64190859315226
53,0.53,0.335755313359937,8.29755184355225,1.76110627032748
54,0.54,0.418596756866994,8.26744587246299,1.87297220192501
55,0.55,0.501104230809197,8.23077563004834,1.97608569003932
56,0.56,0.583212269467961,8.18757934636046,2.06913455700178
57,0.5700000000000001,0.664855817736406,8.13790089158937,2.15093169561717
58,0.58,0.745970287299748,8.08178972922652,2.22042922720421
59,0.59,0.826491612320936,8.0193008639489,2.27673004602347
60,0.6,0.906356304578726,7.95049478428564,2.31909659584878
61,0.61,0.985501508006649,7.8754374001356,2.34695679323285
62,0.62,1.06386505258144,7.79419997518501,2.35990708122265
63,0.63,1.14138550751035,7.70685905430691,2.35771266419869
64,0.64,1.21800223366758,7.61349638601738,2.34030503692406
65,0.65,1.2936554352307,7.51419884005746,2.30777697795916
66,0.66,1.36828621046873,7.40905832020174,2.26037522701915
67,0.67,1.44183660163473,7.29817167237506,2.198491106768
68,0.68,1.51424964391623,7.1816405881644,2.12434867255667
69,0.6900000000000001,1.58546941339802,7.05982048417048,2.04061691999899
70,0.7000000000000001,1.65544605359964,6.93311342951037,1.94511109005372
71,0.71,1.72413168198823,6.80144737351494,1.8350735144696
72,0.72,1.79147500106994,6.66471028029632,1.71263319999067
73,0.73,1.85742588759415,6.52302153808546,1.58031636916415
74,0.74,1.92193543183164,6.37650440615574,1.43914447170962
75,0.75,1.98495597571727,6.22528589966835,1.29017210771544
76,0.76,2.04644114982501,6.06949667134233,1.13447329475014
77,0.77,2.10634590914411,5.90927089006235,0.973128562154596
78,0.78,2.16462656762626,5.74474611654043,0.80721303481681
79,0.79,2.22124083147492,5.57606317615031,0.63778563323647
80,0.8,2.27614783114926,5.40336602905493,0.465879481480669
81,0.81,2.32930815205602,5.22680163775122,0.292493580640275
82,0.8200000000000001,2.38068386390429,5.04651983215769,0.118585773405194
83,0.8300000000000001,2.43023854869918,4.86267317237243,-0.054933003941548
84,0.84,2.47793732735174,4.67541680923156,-0.227203211992633
85,0.85,2.52374688488381,4.48490834280029,-0.397419993748575
86,0.86,2.56763549420774,4.29130767892967,-0.564835326856306
87,0.87,2.6095730384624,4.09477688401416,-0.728759129518257
88,0.88,2.64953103188803,3.89548003808735,-0.888559418727261
