,time,pos,vel,torque
36,0.36,(-1.3662971065027112+9.094947017729283e-17j),(7.8233042362915075-6.821210263296962e-17j),(0.6334098069299405+2.2737367544323206e-16j)
37,0.37,(-1.2885202008010348-3.183231456205249e-16j),(7.890732584518748+2.2737367544323207e-17j),(0.3404193679007107+2.955857780762017e-16j)
38,0.38,(-1.2097422905398085-9.094947017729283e-17j),(8.014556431536418+3.979039320256561e-17j),(0.04521542362037199+4.320099833421409e-16j)
39,0.39,(-1.1300224988828553-9.094947017729283e-17j),(8.143925926373116+6.821210263296962e-17j),(-0.2483434680082741+3.296918293926865e-16j)
40,0.4,(-1.0494206915529027-3.637978807091713e-16j),(8.151384784562625+2.1600499167107046e-16j),(-0.5362917840524326+6.252776074688882e-16j)
41,0.41000000000000003,(-0.9679974324069075-9.094947017729283e-17j),(8.380875131574312-4.661160346586258e-16j),(-0.8146299805302796+2.955857780762017e-16j)
42,0.42,(-0.8858139383587154+0j),(8.240168831388727-3.296918293926865e-16j),(-1.0793991447538838+4.320099833421409e-16j)
43,0.43,(-0.8029320336770237+9.094947017729283e-17j),(8.593135731879547+5.570655048359185e-16j),(-1.3267559263947108+5.684341886080802e-16j)
44,0.44,(-0.7194141036873851-9.094947017729283e-17j),(8.29078115982568-5.115907697472722e-16j),(-1.5530463053162504+3.8653524825349453e-16j)
45,0.45,(-0.6353230479077853+9.094947017729283e-17j),(8.770202084726964-3.183231456205249e-16j),(-1.754876769733565+5.229594535194337e-16j)
46,0.46,(-0.5507222326480692+1.8189894035458566e-16j),(8.315085676253187+3.410605131648481e-17j),(-1.9291815213527705+3.751665644813329e-16j)
47,0.47000000000000003,(-0.465675443104295+9.094947017729283e-17j),(8.901131381789579-1.9326762412674726e-16j),(-2.0732843940266608+4.320099833421409e-16j)
48,0.48,(-0.380246834979835+9.094947017729283e-17j),(8.325125621546883-1.3642420526593925e-16j),(-2.18495426782841-6.821210263296962e-17j)
49,0.49,(-0.29450088566581084+0j),(8.976332736503121-4.5474735088646414e-17j),(-2.262452879491541-1.1368683772161603e-16j)
50,0.5,(-0.20850234501420387+0j),(8.33126892958212+5.684341886080802e-17j),(-2.3045740706291773-2.2737367544323206e-16j)
51,0.51,(-0.12231618573772603-2.728484105318785e-16j),(8.989247031060879-7.958078640513122e-17j),(-2.310673674350769+2.501110429875553e-16j)
52,0.52,(-0.036007553471254235-9.094947017729283e-17j),(8.340587374589672-1.9326762412674726e-16j),(-2.280689415797152+4.774847184307874e-16j)
53,0.53,(0.05035828346962499-9.094947017729283e-17j),(8.937655278363726-4.5474735088646414e-17j),(-2.21515038936629+1.1368683772161603e-16j)
54,0.54,(0.1367159845967308+9.094947017729283e-17j),(8.355713967516635+0j),(-2.115175871412795+2.728484105318785e-16j)
55,0.55,(0.2230001879871265+9.094947017729283e-17j),(8.824404538621602+0j),(-1.98246342821313+2.501110429875553e-16j)
56,0.56,(0.30914556121308007-2.728484105318785e-16j),(8.3743547512486+1.1368683772161603e-16j),(-1.8192664811355514+1.5916157281026244e-16j)
57,0.5700000000000001,(0.395086852425885+1.8189894035458566e-16j),(8.657423595501859+1.9326762412674726e-16j),(-1.6283616903557872-2.2737367544323207e-17j)
