des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,6.748828749783121559e-04,1.337183018000262513e-01,2.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,1.287766674561890805e-03,-8.828722565021956958e-03,-1.970333337783813477e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-02,5.371989374440416798e-04,-1.411063954225438011e-01,-1.992112755775451660e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,-1.530981724668748888e-03,-2.723094787545908280e-01,-1.993861436843872070e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-3.517417316850149963e-03,-1.250839738821109826e-01,1.988261699676513672e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000472e-02,-4.043112674171189108e-03,1.762903927608600041e-02,1.965717196464538574e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000666e-02,-3.206365482120518071e-03,1.495395793714300037e-01,1.980095982551574707e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-02,-1.058643303616625501e-03,2.797831139737526618e-01,1.973527908325195312e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999667e-02,2.391105558244083044e-03,4.099024910012680767e-01,1.992634654045104980e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999167e-02,5.753565719040803876e-03,2.626509177000105888e-01,-1.970524549484252930e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999867e-01,7.669144272832470292e-03,1.205674629292531330e-01,-1.903572201728820801e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999817e-01,8.141654961036148136e-03,-2.374586115065477343e-02,-1.977573633193969727e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299999999999999767e-01,7.238099696994616111e-03,-1.567808801153247056e-01,-1.985443472862243652e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.399999999999999856e-01,5.008274124525338017e-03,-2.889575598916182542e-01,-1.990817308425903320e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.499999999999999944e-01,1.464929354907891501e-03,-4.194437403953799048e-01,-1.987856268882751465e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-01,-3.342470045233945225e-03,-5.417366895249491332e-01,-1.894905209541320801e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000122e-01,-8.009748417690799177e-03,-3.917408950672169876e-01,1.992266178131103516e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000211e-01,-1.118892722305592398e-02,-2.441626188317395085e-01,1.961505293846130371e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000300e-01,-1.289321782814935487e-02,-9.681121134191741917e-02,1.966144680976867676e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000389e-01,-1.315414317612506254e-02,4.230580494972271954e-02,1.890898704528808594e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000477e-01,-1.206386272692377797e-02,1.755596158408353202e-01,1.976621866226196289e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000566e-01,-9.650301157871568267e-03,3.069209681121761735e-01,1.967677831649780273e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000655e-01,-5.923513044353192168e-03,4.381621280906610738e-01,1.987715721130371094e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000744e-01,-9.092333267745793604e-04,5.643830326066177072e-01,1.940983176231384277e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000555e-01,5.371992363603522204e-03,6.915088471748243037e-01,1.982480645179748535e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000644e-01,1.153398030713563907e-02,5.408625442408397932e-01,-1.978831410408020020e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000733e-01,1.618784731825635703e-02,3.899343035188152506e-01,-1.982754707336425781e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000822e-01,1.936569135235664818e-02,2.456984229052221191e-01,-1.890680551528930664e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000910e-01,2.107812751788849456e-02,9.690593698054314475e-02,-1.963714122772216797e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000999e-01,2.130495405327728978e-02,-4.921103366605958374e-02,-1.968528628349304199e+00
