des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,4.087430799839287138e-05,7.084640822050066594e-03,1.794183308155414824e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-02,1.409276717944614509e-04,1.291597663281628811e-02,1.777587020128382489e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-02,2.985997961374361196e-04,1.860667272066950095e-02,1.766830780357290520e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,5.123625352464922407e-04,2.413245757501504551e-02,1.754043731608851964e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,7.804397221776058699e-04,2.946800780699681405e-02,1.739004020708063425e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000472e-02,1.100807830763819370e-03,3.458918167425404505e-02,1.721802733243855965e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000666e-02,1.471206704510552186e-03,3.947280146967192815e-02,1.702494065749274588e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-02,1.889149202471310457e-03,4.409665431002865454e-02,1.681126777533212546e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.999999999999999667e-02,2.351930840741913060e-03,4.843949047401047842e-02,1.657744110074794719e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999167e-02,2.856639405812297187e-03,5.248101943924764895e-02,1.632383725056537616e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.099999999999999867e-01,3.400164732317463405e-03,5.620194667223426394e-02,1.605083828796026457e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999817e-01,3.979210287857033734e-03,5.958429785854046923e-02,1.575924813520981627e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.299999999999999767e-01,4.590306697066128504e-03,6.261148276225246556e-02,1.544992519920083962e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.399999999999999856e-01,5.229825346278109063e-03,6.526824761182928314e-02,1.512362663882623193e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.499999999999999944e-01,5.893991544879451788e-03,6.754063405938885711e-02,1.478102109792980567e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-01,6.578897272601920421e-03,6.941593742312593407e-02,1.442269090868622261e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000122e-01,7.280513506850440700e-03,7.088266446619061190e-02,1.404913453569922310e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000211e-01,7.994699456981469235e-03,7.192995772953696132e-02,1.366000264163085010e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000300e-01,8.717212995065150294e-03,7.254840884072344398e-02,1.325609101934633327e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000389e-01,9.443730883399965165e-03,7.273120384900018387e-02,1.283983015349514090e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000477e-01,1.016987436658164934e-02,7.247405204097104314e-02,1.241355501553157020e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000566e-01,1.089119601293008291e-02,7.176751710243430005e-02,1.196858848613319426e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000655e-01,1.160313931781289075e-02,7.059922773278705377e-02,1.149935363916064907e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000744e-01,1.230105268732359196e-02,6.896253382505625196e-02,1.101265424819175831e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000555e-01,1.298024530516844743e-02,6.685623594369359546e-02,1.051494375591686820e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000644e-01,1.363602868736952731e-02,6.428199657515576426e-02,1.000900503056516705e-01
